Brand_Name,Policy_Name,Cashless_Hospitals,Coverage_Amount,Monthly_Premium,Annual_Premium,Claim_Settlement_Ratio,Fitness_Score1,Fitness_Score2,Fitness_Score3,Fitness Score_4
Universal Sompo,A Plus Diamond + Non medical items,20,₹5 Lac,₹857/month,"₹10,278 / Year",96 % claim settlement ratio,34,33,32,35
Universal Sompo,A Plus Silver + PED waiting period waiver,20,₹5 Lac,₹753/month,"₹9,039 / Year",96 % claim settlement ratio,56,55,54,57
Universal Sompo,A Plus Gold + PED waiting period waiver,20,₹5 Lac,₹798/month,"₹9,570 / Year",96 % claim settlement ratio,98,97,96,99
Universal Sompo,A Plus Diamond + PED waiting period waiver,20,₹5 Lac,₹969/month,"₹11,623 / Year",96 % claim settlement ratio,45,44,43,46
IFFCO Tokio,Individual Health Protector,12,₹3 Lac,₹610/month,"₹7,321 / Year",98.90 % claim settlement ratio,69,68,67,70
Magma HDI,Secure with Bonus Booster and Zonewise Copay Waiver,16,₹4 Lac,₹629/month,"₹7,550 / Year",90 % claim settlement ratio,90,89,88,91
Care Health,Care Advantage with Global Coverage Inc US,15,₹3 Cr,"₹4,577/month","₹54,927 / Year",93 % claim settlement ratio,58,57,56,59
Care Health,Care Advantage with Global Coverage Ex US,15,₹3 Cr,"₹3,893/month","₹46,716 / Year",93 % claim settlement ratio,68,67,66,69
Care Health,Care Advantage with Reduction In PED Waiting period and Global coverage Inc US,15,₹3 Cr,"₹4,577/month","₹54,927 / Year",93 % claim settlement ratio,90,89,88,91
Niva Bupa,Health Premia Platinum,16,₹3 Cr,"₹6,208/month","₹74,497 / Year",92 % claim settlement ratio,45,44,43,46
Aditya Birla,Activ One Max,14,₹3 Cr,"₹2,185/month","₹26,221 / Year",96 % claim settlement ratio,71,70,69,72
ICICI Lombard,Elevate + BeFit,12,₹3 Cr,"₹2,011/month","₹24,136 / Year",99.80 % claim settlement ratio,81,80,79,82
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹3 Cr,"₹3,122/month","₹37,458 / Year",99.80 % claim settlement ratio,77,76,75,78
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹3 Cr,"₹3,122/month","₹37,458 / Year",99.80 % claim settlement ratio,88,87,86,89
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹3 Cr,"₹3,152/month","₹37,829 / Year",99.80 % claim settlement ratio,82,81,80,83
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹3 Cr,"₹3,152/month","₹37,829 / Year",99.80 % claim settlement ratio,45,44,43,46
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹3 Cr,"₹3,287/month","₹39,448 / Year",93.4 % claim settlement ratio,35,34,33,36
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹3 Cr,"₹1,655/month","₹19,864 / Year",93.4 % claim settlement ratio,50,49,48,51
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹3 Cr,"₹1,679/month","₹20,143 / Year",93.4 % claim settlement ratio,33,32,31,34
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹3 Cr,"₹1,648/month","₹19,772 / Year",93.4 % claim settlement ratio,47,46,45,48
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹3 Cr,"₹3,264/month","₹39,169 / Year",93.4 % claim settlement ratio,49,48,47,50
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹3 Cr,"₹3,256/month","₹39,076 / Year",93.4 % claim settlement ratio,65,64,63,66
Care Health,Care Supreme VFM Discounted,15,₹5 Lac,₹581/month,"₹6,969 / Year",93 % claim settlement ratio,33,32,31,34
Care Health,Care Supreme Discounted + Wellness Benefit + Air Ambulance + NCB Super,15,₹5 Lac,₹732/month,"₹8,783 / Year",93 % claim settlement ratio,63,62,61,64
Care Health,Care Supreme Discounted (Quarterly) + Wellness Benefit + Air Ambulance + NCB Super,15,₹5 Lac,₹755/month,"₹2,264 for 3 months",93 % claim settlement ratio,70,69,68,71
Care Health,Care Freedom,15,₹3 Lac,₹502/month,"₹6,024 / Year",93 % claim settlement ratio,68,67,66,69
Care Health,Care Heart,15,₹3 Lac,₹750/month,"₹9,000 / Year",93 % claim settlement ratio,50,49,48,51
Care Health,Care Freedom with Health Check Plus,15,₹3 Lac,₹502/month,"₹6,024 / Year",93 % claim settlement ratio,52,51,50,53
Care Health,Care with Care Shield,15,₹5 Lac,"₹1,276/month","₹15,312 / Year",93 % claim settlement ratio,60,59,58,61
Star Health,Young Star Silver,16,₹3 Lac,₹456/month,"₹5,466 / Year",85.80 % claim settlement ratio,80,79,78,81
Star Health,Young Star Gold,16,₹3 Lac,₹570/month,"₹6,839 / Year",85.80 % claim settlement ratio,55,54,53,56
Star Health,Assure Insurance Policy,16,₹5 Lac,₹683/month,"₹8,192 / Year",85.80 % claim settlement ratio,85,84,83,86
Star Health,Comprehensive Individual,16,₹5 Lac,₹794/month,"₹9,529 / Year",85.80 % claim settlement ratio,90,89,88,91
Star Health,Mediclassic Individual Gold,16,₹3 Lac,₹661/month,"₹7,937 / Year",85.80 % claim settlement ratio,86,85,84,87
Star Health,Mediclassic Individual Silver,16,₹3 Lac,₹618/month,"₹7,419 / Year",85.80 % claim settlement ratio,78,77,76,79
Star Health,Comprehensive with PED Buy Back,16,₹5 Lac,"₹1,032/month","₹12,388 / Year",85.80 % claim settlement ratio,88,87,86,89
Star Health,Diabetes Safe Plan-A,16,₹3 Lac,"₹1,526/month","₹18,307 / Year",85.80 % claim settlement ratio,40,39,38,41
Star Health,Diabetes Safe Plan-B,16,₹3 Lac,"₹1,695/month","₹20,341 / Year",85.80 % claim settlement ratio,100,99,98,100
Star Health,Arogya Sanjivini Individual,16,₹3 Lac,₹442/month,"₹5,298 / Year",85.80 % claim settlement ratio,89,88,87,90
Star Health,Smart Health Pro,16,₹5 Lac,₹618/month,"₹7,417 / Year",85.80 % claim settlement ratio,97,96,95,98
Niva Bupa,Reassure 2.0 Platinum+ (Direct),16,₹5 Lac,₹912/month,"₹10,943 / Year",92 % claim settlement ratio,86,85,84,87
Niva Bupa,Reassure 2.0 Titanium+ (Direct),16,₹5 Lac,₹937/month,"₹11,239 / Year",92 % claim settlement ratio,89,88,87,90
Niva Bupa,Reassure 2.0 Bronze+(Direct),16,₹5 Lac,₹830/month,"₹9,955 / Year",92 % claim settlement ratio,76,75,74,77
Niva Bupa,Aspire Gold + (Direct),16,₹5 Lac,₹683/month,"₹8,194 / Year",92 % claim settlement ratio,83,82,81,84
Niva Bupa,Aspire Diamond + (Direct),16,₹5 Lac,₹782/month,"₹9,383 / Year",92 % claim settlement ratio,75,74,73,76
Niva Bupa,Aspire Platinum + (Direct),16,₹5 Lac,₹843/month,"₹10,114 / Year",92 % claim settlement ratio,73,72,71,74
Niva Bupa,Aspire Titanium + (Direct),16,₹5 Lac,₹848/month,"₹10,179 / Year",92 % claim settlement ratio,75,74,73,76
Niva Bupa,Health Companion,16,₹3 Lac,₹873/month,"₹10,470 / Year",92 % claim settlement ratio,87,86,85,88
Niva Bupa,Health Companion + Safeguard,16,₹3 Lac,₹960/month,"₹11,518 / Year",92 % claim settlement ratio,80,79,78,81
Niva Bupa,Health Premia Silver,16,₹5 Lac,"₹1,413/month","₹16,953 / Year",92 % claim settlement ratio,64,63,62,65
Niva Bupa,Health Pulse,16,₹5 Lac,₹601/month,"₹7,207 / Year",92 % claim settlement ratio,89,88,87,90
Aditya Birla,Activ One Max,14,₹5 Lac,₹654/month,"₹7,846 / Year",96 % claim settlement ratio,93,92,91,94
Aditya Birla,Active Health Platinum - Enhanced,14,₹5 Lac,₹710/month,"₹8,522 / Year",96 % claim settlement ratio,81,80,79,82
ICICI Lombard,Elevate + BeFit,12,₹5 Lac,₹736/month,"₹8,832 / Year",99.80 % claim settlement ratio,90,89,88,91
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹5 Lac,₹876/month,"₹10,507 / Year",99.80 % claim settlement ratio,82,81,80,83
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹5 Lac,₹909/month,"₹10,913 / Year",99.80 % claim settlement ratio,78,77,76,79
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + Claim Protector + Befit,12,₹5 Lac,"₹1,139/month","₹13,670 / Year",99.80 % claim settlement ratio,83,82,81,84
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + Befit,12,₹5 Lac,"₹1,105/month","₹13,263 / Year",99.80 % claim settlement ratio,66,65,64,67
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹5 Lac,₹940/month,"₹11,284 / Year",99.80 % claim settlement ratio,78,77,76,79
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹5 Lac,₹907/month,"₹10,878 / Year",99.80 % claim settlement ratio,90,89,88,91
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + SI Protector + Befit,12,₹5 Lac,"₹1,136/month","₹13,634 / Year",99.80 % claim settlement ratio,100,99,98,100
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + Claim Protector + SI Protector + Befit,12,₹5 Lac,"₹1,170/month","₹14,040 / Year",99.80 % claim settlement ratio,55,54,53,56
Reliance,Health Gain Plus,15,₹5 Lac,₹535/month,"₹6,416 / Year",99.90 % claim settlement ratio,62,61,60,63
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,859/month","₹22,307 / Year",93.4 % claim settlement ratio,78,77,76,79
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,161/month","₹13,930 / Year",93.4 % claim settlement ratio,61,60,59,62
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,177/month","₹14,124 / Year",93.4 % claim settlement ratio,94,93,92,95
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,156/month","₹13,866 / Year",93.4 % claim settlement ratio,52,51,50,53
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,843/month","₹22,114 / Year",93.4 % claim settlement ratio,48,47,46,49
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,837/month","₹22,049 / Year",93.4 % claim settlement ratio,78,77,76,79
Cholamandalam MS,Flexi Health Individual,16,₹5 Lac,₹879/month,"₹10,550 / Year",94 % claim settlement ratio,93,92,91,94
New India Assurance,New India Mediclaim 2012,16,₹3 Lac,₹804/month,"₹9,642 / Year",98 % claim settlement ratio,47,46,45,48
New India Assurance,Aarogya sanjeevani,16,₹3 Lac,₹593/month,"₹7,120 / Year",98 % claim settlement ratio,80,79,78,81
Royal Sundaram,Lifeline Classic,15,₹3 Lac,₹707/month,"₹8,481 / Year",92 % claim settlement ratio,74,73,72,75
Royal Sundaram,Lifeline Supreme,15,₹5 Lac,₹797/month,"₹9,566 / Year",92 % claim settlement ratio,69,68,67,70
Zuno,Zuno Gold + Health 241,10,₹5 Lac,"₹1,309/month","₹15,707 / Year",95 % claim settlement ratio,92,91,90,93
Universal Sompo,A Plus Silver,20,₹5 Lac,₹613/month,"₹7,351 / Year",96 % claim settlement ratio,57,56,55,58
Universal Sompo,A Plus Gold,20,₹5 Lac,₹657/month,"₹7,882 / Year",96 % claim settlement ratio,82,81,80,83
Universal Sompo,A Plus Diamond,20,₹5 Lac,₹828/month,"₹9,936 / Year",96 % claim settlement ratio,98,97,96,99
Universal Sompo,Complete HealthCare Insurance - Privilege,20,₹6 Lac,₹866/month,"₹10,396 / Year",96 % claim settlement ratio,74,73,72,75
Universal Sompo,Complete HealthCare Insurance - Essential,20,₹4 Lac,₹708/month,"₹8,496 / Year",96 % claim settlement ratio,67,66,65,68
Universal Sompo,Complete HealthCare Insurance - Digi-Pro,20,₹4 Lac,₹652/month,"₹7,823 / Year",96 % claim settlement ratio,98,97,96,99
Universal Sompo,A Plus Silver + Non medical items,20,₹5 Lac,₹641/month,"₹7,694 / Year",96 % claim settlement ratio,38,37,36,39
Universal Sompo,A Plus Gold + Non medical items,20,₹5 Lac,₹685/month,"₹8,225 / Year",96 % claim settlement ratio,97,96,95,98
Universal Sompo,A Plus Diamond + Non medical items,20,₹5 Lac,₹857/month,"₹10,278 / Year",96 % claim settlement ratio,91,90,89,92
Universal Sompo,A Plus Silver + PED waiting period waiver,20,₹5 Lac,₹753/month,"₹9,039 / Year",96 % claim settlement ratio,61,60,59,62
Universal Sompo,A Plus Gold + PED waiting period waiver,20,₹5 Lac,₹798/month,"₹9,570 / Year",96 % claim settlement ratio,36,35,34,37
Universal Sompo,A Plus Diamond + PED waiting period waiver,20,₹5 Lac,₹969/month,"₹11,623 / Year",96 % claim settlement ratio,78,77,76,79
IFFCO Tokio,Individual Health Protector,12,₹3 Lac,₹610/month,"₹7,321 / Year",98.90 % claim settlement ratio,92,91,90,93
Magma HDI,Secure with Bonus Booster and Zonewise Copay Waiver,16,₹4 Lac,₹629/month,"₹7,550 / Year",90 % claim settlement ratio,35,34,33,36
Care Health,Care Supreme VFM Discounted,15,₹5 Lac,₹581/month,"₹6,969 / Year",93 % claim settlement ratio,45,44,43,46
Care Health,Care Supreme Discounted + Wellness Benefit + Air Ambulance + NCB Super,15,₹5 Lac,₹732/month,"₹8,783 / Year",93 % claim settlement ratio,64,63,62,65
Care Health,Care Supreme Discounted (Quarterly) + Wellness Benefit + Air Ambulance + NCB Super,15,₹5 Lac,₹755/month,"₹2,264 for 3 months",93 % claim settlement ratio,57,56,55,58
Care Health,Care Freedom,15,₹5 Lac,₹589/month,"₹7,062 / Year",93 % claim settlement ratio,86,85,84,87
Care Health,Care Heart,15,₹5 Lac,₹956/month,"₹11,469 / Year",93 % claim settlement ratio,87,86,85,88
Care Health,Care Freedom with Health Check Plus,15,₹5 Lac,₹589/month,"₹7,062 / Year",93 % claim settlement ratio,56,55,54,57
Star Health,Young Star Silver,16,₹5 Lac,₹625/month,"₹7,497 / Year",85.80 % claim settlement ratio,75,74,73,76
Star Health,Young Star Gold,16,₹5 Lac,₹740/month,"₹8,876 / Year",85.80 % claim settlement ratio,44,43,42,45
Star Health,Assure Insurance Policy,16,₹5 Lac,₹683/month,"₹8,192 / Year",85.80 % claim settlement ratio,67,66,65,68
Star Health,Comprehensive Individual,16,₹5 Lac,₹794/month,"₹9,529 / Year",85.80 % claim settlement ratio,87,86,85,88
Star Health,Mediclassic Individual Gold,16,₹5 Lac,₹884/month,"₹10,609 / Year",85.80 % claim settlement ratio,34,33,32,35
Star Health,Mediclassic Individual Silver,16,₹5 Lac,₹826/month,"₹9,915 / Year",85.80 % claim settlement ratio,56,55,54,57
Star Health,Comprehensive with PED Buy Back,16,₹5 Lac,"₹1,032/month","₹12,388 / Year",85.80 % claim settlement ratio,98,97,96,99
Star Health,Diabetes Safe Plan-A,16,₹5 Lac,"₹1,764/month","₹21,167 / Year",85.80 % claim settlement ratio,45,44,43,46
Star Health,Diabetes Safe Plan-B,16,₹5 Lac,"₹2,004/month","₹24,053 / Year",85.80 % claim settlement ratio,69,68,67,70
Star Health,Arogya Sanjivini Individual,16,₹5 Lac,₹533/month,"₹6,396 / Year",85.80 % claim settlement ratio,90,89,88,91
Star Health,Smart Health Pro,16,₹5 Lac,₹618/month,"₹7,417 / Year",85.80 % claim settlement ratio,58,57,56,59
Niva Bupa,Reassure 2.0 Platinum+ (Direct),16,₹5 Lac,₹912/month,"₹10,943 / Year",92 % claim settlement ratio,68,67,66,69
Niva Bupa,Reassure 2.0 Titanium+ (Direct),16,₹5 Lac,₹937/month,"₹11,239 / Year",92 % claim settlement ratio,90,89,88,91
Niva Bupa,Reassure 2.0 Bronze+(Direct),16,₹5 Lac,₹830/month,"₹9,955 / Year",92 % claim settlement ratio,45,44,43,46
Niva Bupa,Aspire Gold + (Direct),16,₹5 Lac,₹683/month,"₹8,194 / Year",92 % claim settlement ratio,71,70,69,72
Niva Bupa,Aspire Diamond + (Direct),16,₹5 Lac,₹782/month,"₹9,383 / Year",92 % claim settlement ratio,81,80,79,82
Niva Bupa,Aspire Platinum + (Direct),16,₹5 Lac,₹843/month,"₹10,114 / Year",92 % claim settlement ratio,77,76,75,78
Niva Bupa,Aspire Titanium + (Direct),16,₹5 Lac,₹848/month,"₹10,179 / Year",92 % claim settlement ratio,88,87,86,89
Niva Bupa,Health Companion,16,₹5 Lac,₹802/month,"₹9,629 / Year",92 % claim settlement ratio,82,81,80,83
Niva Bupa,Health Companion + Safeguard,16,₹5 Lac,₹883/month,"₹10,592 / Year",92 % claim settlement ratio,45,44,43,46
Niva Bupa,Health Premia Gold,16,₹10 Lac,"₹1,840/month","₹22,081 / Year",92 % claim settlement ratio,35,34,33,36
Niva Bupa,Health Premia Silver,16,₹5 Lac,"₹1,413/month","₹16,953 / Year",92 % claim settlement ratio,50,49,48,51
Niva Bupa,Health Pulse,16,₹5 Lac,₹601/month,"₹7,207 / Year",92 % claim settlement ratio,33,32,31,34
Aditya Birla,Activ One Max,14,₹5 Lac,₹654/month,"₹7,846 / Year",96 % claim settlement ratio,47,46,45,48
Aditya Birla,Active Health Platinum - Enhanced,14,₹5 Lac,₹710/month,"₹8,522 / Year",96 % claim settlement ratio,49,48,47,50
Aditya Birla,Active Health Platinum Essential - Waiver of mandatory co-payment,14,₹5 Lac,₹710/month,"₹8,522 / Year",96 % claim settlement ratio,65,64,63,66
ICICI Lombard,Elevate + BeFit,12,₹5 Lac,₹736/month,"₹8,832 / Year",99.80 % claim settlement ratio,33,32,31,34
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹5 Lac,₹876/month,"₹10,507 / Year",99.80 % claim settlement ratio,63,62,61,64
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹5 Lac,₹909/month,"₹10,913 / Year",99.80 % claim settlement ratio,70,69,68,71
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + Claim Protector + Befit,12,₹5 Lac,"₹1,139/month","₹13,670 / Year",99.80 % claim settlement ratio,68,67,66,69
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + Befit,12,₹5 Lac,"₹1,105/month","₹13,263 / Year",99.80 % claim settlement ratio,50,49,48,51
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹5 Lac,₹940/month,"₹11,284 / Year",99.80 % claim settlement ratio,52,51,50,53
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹5 Lac,₹907/month,"₹10,878 / Year",99.80 % claim settlement ratio,60,59,58,61
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + SI Protector + Befit,12,₹5 Lac,"₹1,136/month","₹13,634 / Year",99.80 % claim settlement ratio,80,79,78,81
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + Claim Protector + SI Protector + Befit,12,₹5 Lac,"₹1,170/month","₹14,040 / Year",99.80 % claim settlement ratio,55,54,53,56
Reliance,Health Gain Plus,15,₹5 Lac,₹535/month,"₹6,416 / Year",99.90 % claim settlement ratio,85,84,83,86
Reliance,Health Gain Power,15,₹10 Lac,₹756/month,"₹9,071 / Year",99.90 % claim settlement ratio,90,89,88,91
Reliance,Health Infinity With More Time,15,₹10 Lac,₹766/month,"₹9,196 / Year",99.90 % claim settlement ratio,86,85,84,87
Reliance,Health Infinity With More Global,15,₹10 Lac,₹766/month,"₹9,196 / Year",99.90 % claim settlement ratio,78,77,76,79
Reliance,Health Infinity With More Cover,15,₹10 Lac,₹766/month,"₹9,196 / Year",99.90 % claim settlement ratio,88,87,86,89
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,859/month","₹22,307 / Year",93.4 % claim settlement ratio,40,39,38,41
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,161/month","₹13,930 / Year",93.4 % claim settlement ratio,100,99,98,100
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,177/month","₹14,124 / Year",93.4 % claim settlement ratio,89,88,87,90
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,156/month","₹13,866 / Year",93.4 % claim settlement ratio,97,96,95,98
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,843/month","₹22,114 / Year",93.4 % claim settlement ratio,86,85,84,87
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,837/month","₹22,049 / Year",93.4 % claim settlement ratio,89,88,87,90
Cholamandalam MS,Flexi Health Supreme Plus,16,₹7.5 Lac,"₹1,009/month","₹12,112 / Year",94 % claim settlement ratio,76,75,74,77
Cholamandalam MS,Flexi Health Individual,16,₹5 Lac,₹879/month,"₹10,550 / Year",94 % claim settlement ratio,83,82,81,84
New India Assurance,New India Mediclaim 2012,16,₹5 Lac,₹903/month,"₹10,832 / Year",98 % claim settlement ratio,75,74,73,76
New India Assurance,Aarogya sanjeevani,16,₹5 Lac,₹688/month,"₹8,260 / Year",98 % claim settlement ratio,73,72,71,74
Royal Sundaram,Lifeline Supreme,15,₹5 Lac,₹797/month,"₹9,566 / Year",92 % claim settlement ratio,75,74,73,76
Zuno,Zuno Gold + Health 241,10,₹5 Lac,"₹1,309/month","₹15,707 / Year",95 % claim settlement ratio,87,86,85,88
Universal Sompo,A Plus Silver,20,₹5 Lac,₹613/month,"₹7,351 / Year",96 % claim settlement ratio,80,79,78,81
Universal Sompo,A Plus Gold,20,₹5 Lac,₹657/month,"₹7,882 / Year",96 % claim settlement ratio,64,63,62,65
Universal Sompo,A Plus Diamond,20,₹5 Lac,₹828/month,"₹9,936 / Year",96 % claim settlement ratio,89,88,87,90
Universal Sompo,Complete HealthCare Insurance - Privilege,20,₹6 Lac,₹866/month,"₹10,396 / Year",96 % claim settlement ratio,93,92,91,94
Universal Sompo,Complete HealthCare Insurance - Essential,20,₹5 Lac,₹791/month,"₹9,487 / Year",96 % claim settlement ratio,81,80,79,82
Universal Sompo,Complete HealthCare Insurance - Digi-Pro,20,₹5 Lac,₹594/month,"₹7,127 / Year",96 % claim settlement ratio,90,89,88,91
Universal Sompo,A Plus Silver + Non medical items,20,₹5 Lac,₹641/month,"₹7,694 / Year",96 % claim settlement ratio,82,81,80,83
Universal Sompo,A Plus Gold + Non medical items,20,₹5 Lac,₹685/month,"₹8,225 / Year",96 % claim settlement ratio,78,77,76,79
Universal Sompo,A Plus Diamond + Non medical items,20,₹5 Lac,₹857/month,"₹10,278 / Year",96 % claim settlement ratio,83,82,81,84
Universal Sompo,A Plus Silver + PED waiting period waiver,20,₹5 Lac,₹753/month,"₹9,039 / Year",96 % claim settlement ratio,66,65,64,67
Universal Sompo,A Plus Gold + PED waiting period waiver,20,₹5 Lac,₹798/month,"₹9,570 / Year",96 % claim settlement ratio,78,77,76,79
Universal Sompo,A Plus Diamond + PED waiting period waiver,20,₹5 Lac,₹969/month,"₹11,623 / Year",96 % claim settlement ratio,90,89,88,91
IFFCO Tokio,Individual Health Protector,12,₹5 Lac,₹872/month,"₹10,464 / Year",98.90 % claim settlement ratio,100,99,98,100
Magma HDI,Secure with Bonus Booster and Zonewise Copay Waiver,16,₹5 Lac,₹672/month,"₹8,068 / Year",90 % claim settlement ratio,55,54,53,56
Care Health,Care Supreme VFM Discounted,15,₹7 Lac,₹603/month,"₹7,232 / Year",93 % claim settlement ratio,62,61,60,63
Care Health,Care Supreme Discounted + Wellness Benefit + Air Ambulance + NCB Super,15,₹7 Lac,₹757/month,"₹9,084 / Year",93 % claim settlement ratio,78,77,76,79
Care Health,Care Supreme Discounted (Quarterly) + Wellness Benefit + Air Ambulance + NCB Super,15,₹7 Lac,₹780/month,"₹2,341 for 3 months",93 % claim settlement ratio,61,60,59,62
Care Health,Care Heart,15,₹7 Lac,"₹1,220/month","₹14,635 / Year",93 % claim settlement ratio,94,93,92,95
Care Health,Care with Care Shield,15,₹7 Lac,"₹1,374/month","₹16,489 / Year",93 % claim settlement ratio,52,51,50,53
Star Health,Young Star Silver,16,₹10 Lac,₹814/month,"₹9,767 / Year",85.80 % claim settlement ratio,48,47,46,49
Star Health,Young Star Gold,16,₹10 Lac,₹926/month,"₹11,117 / Year",85.80 % claim settlement ratio,78,77,76,79
Star Health,Assure Insurance Policy,16,₹10 Lac,₹922/month,"₹11,059 / Year",85.80 % claim settlement ratio,93,92,91,94
Star Health,Comprehensive Individual,16,₹7.5 Lac,₹996/month,"₹11,948 / Year",85.80 % claim settlement ratio,47,46,45,48
Star Health,Mediclassic Individual Gold,16,₹10 Lac,"₹1,149/month","₹13,792 / Year",85.80 % claim settlement ratio,80,79,78,81
Star Health,Mediclassic Individual Silver,16,₹10 Lac,"₹1,074/month","₹12,889 / Year",85.80 % claim settlement ratio,74,73,72,75
Star Health,Comprehensive with PED Buy Back,16,₹7.5 Lac,"₹1,294/month","₹15,532 / Year",85.80 % claim settlement ratio,69,68,67,70
Star Health,Diabetes Safe Plan-A,16,₹10 Lac,"₹2,121/month","₹25,448 / Year",85.80 % claim settlement ratio,92,91,90,93
Star Health,Diabetes Safe Plan-B,16,₹10 Lac,"₹2,305/month","₹27,660 / Year",85.80 % claim settlement ratio,57,56,55,58
Star Health,Arogya Sanjivini Individual,16,₹7 Lac,₹616/month,"₹7,393 / Year",85.80 % claim settlement ratio,82,81,80,83
Star Health,Smart Health Pro,16,₹10 Lac,₹761/month,"₹9,137 / Year",85.80 % claim settlement ratio,98,97,96,99
Niva Bupa,Reassure 2.0 Platinum+ (Direct),16,₹10 Lac,"₹1,072/month","₹12,868 / Year",92 % claim settlement ratio,74,73,72,75
Niva Bupa,Reassure 2.0 Titanium+ (Direct),16,₹10 Lac,"₹1,101/month","₹13,213 / Year",92 % claim settlement ratio,67,66,65,68
Niva Bupa,Reassure 2.0 Bronze+(Direct),16,₹10 Lac,₹984/month,"₹11,810 / Year",92 % claim settlement ratio,98,97,96,99
Niva Bupa,Health Companion,16,₹7.5 Lac,₹903/month,"₹10,834 / Year",92 % claim settlement ratio,38,37,36,39
Niva Bupa,Health Companion + Safeguard,16,₹7.5 Lac,₹971/month,"₹11,647 / Year",92 % claim settlement ratio,97,96,95,98
Niva Bupa,Health Premia Gold,16,₹10 Lac,"₹1,840/month","₹22,081 / Year",92 % claim settlement ratio,91,90,89,92
Niva Bupa,Health Premia Silver,16,₹7.5 Lac,"₹1,606/month","₹19,271 / Year",92 % claim settlement ratio,61,60,59,62
Niva Bupa,Health Pulse,16,₹7.5 Lac,₹679/month,"₹8,149 / Year",92 % claim settlement ratio,36,35,34,37
Aditya Birla,Activ One Max,14,₹7 Lac,₹730/month,"₹8,764 / Year",96 % claim settlement ratio,78,77,76,79
Aditya Birla,Active Health Platinum - Enhanced,14,₹7 Lac,₹792/month,"₹9,509 / Year",96 % claim settlement ratio,92,91,90,93
ICICI Lombard,Elevate + BeFit,12,₹7.5 Lac,₹805/month,"₹9,655 / Year",99.80 % claim settlement ratio,35,34,33,36
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹7.5 Lac,₹946/month,"₹11,355 / Year",99.80 % claim settlement ratio,45,44,43,46
